암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQxMyQyNjE0ODEjNDEjJDEjJDQjJDgz,(VOM)봄안과의원,의원,대구광역시,동구,"대구광역시 동구 안심로 58, 3층 (율하동, 율하메디빌)",안과,2014-01-02
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNTEjJDEjJDYjJDgz,(복지)예사랑병원,정신병원,부산광역시,서구,부산광역시 서구 옥천로130번길 38 (아미동2가),해당사항없음,2012-02-29
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ3MiQyNjEwMDIjNDEjJDEjJDgjJDgz,(사) 경찰공제회 포항의원,의원,경상북도,포항시 남구,경상북도 포항시 남구 오천읍 냉천로 656,일반의,2001-06-13
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQxMyQzNjE4MzIjNzEjJDEjJDgjJDgz,(사)경찰공제회 강서적성의원,의원,서울특별시,강서구,"서울특별시 강서구 남부순환로 171, 강서운전면허시험장만남의광장 적성검사소호 (외발산동)",일반의,2019-12-30
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,(사)경찰공제회남부의원,의원,인천광역시,남동구,인천광역시 남동구 아암대로 1247 (고잔동),일반의,1998-09-28
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQxMyQzNjE4MzIjNDEjJDEjJDQjJDgz,(사)대한산업보건협회 남부산의원,의원,부산광역시,강서구,"부산광역시 강서구 명지국제6로1번길 30, A동 3층 (명지동)",일반의,2011-04-22
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4MiQyNjEyMjIjNjEjJDEjJDQjJDgz,(사)대한산업보건협회 부설 한마음의원,의원,경기도,군포시,"경기도 군포시 산본로48번길 8, 3층 (당정동)",일반의,2022-03-17
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,(사)대한산업보건협회 전북지역본부 전북의원,의원,전북특별자치도,전주시 덕진구,전북특별자치도 전주시 덕진구 기린대로 1030 (여의동),일반의,1989-06-03
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,(사)대한산업보건협회부설경북의원,의원,경상북도,경산시,경상북도 경산시 진량읍 공단1로 28,일반의,1995-01-24
JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ5OSQyNjEyMjIjODEjJDEjJDIjJDgz,(사)대한신장복지회 대신의원,의원,충청북도,청주시 청원구,"충청북도 청주시 청원구 충청대로 93, 1층, 2층 (율량동)",일반의,2006-07-14
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNjEjJDEjJDgjJDgz,(사)모퉁이복지재단 인천재활의원,의원,인천광역시,미추홀구,인천광역시 미추홀구 인주대로 290 (주안동),일반의,2003-02-10
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz,(사)인구보건복지협회 가족보건의원,의원,대구광역시,서구,대구광역시 서구 국채보상로46길 16 (평리동),일반의,1985-04-01
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjNTEjJDEjJDIjJDgz,(사)인구보건복지협회 부산시지회 가족보건의원,의원,부산광역시,수영구,부산광역시 수영구 수영로 425 (남천동),일반의,2008-04-29
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ2MiQzNjEyMjIjODEjJDEjJDIjJDgz,(사)인구보건복지협회 서울지회 가족보건의원,의원,서울특별시,광진구,"서울특별시 광진구 긴고랑로13길 62, 1층, 2층 (중곡동)",일반의,2006-06-23
JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,(사)인구보건복지협회 충북세종지회 가족보건의원,의원,충청북도,청주시 흥덕구,"충청북도 청주시 흥덕구 내수동로 20 (복대동, 모자보건센타)",일반의,1976-09-27
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQzIyQ5MiQyNjE0ODEjNTEjJDEjJDIjJDgz,(사)인구보건복지협회경기도지회가족보건의원,의원,경기도,수원시 팔달구,경기도 수원시 팔달구 고화로14번길 11 (매산로3가),일반의,1974-03-08
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQwMyQzNjE4MzIjNjEjJDEjJDQjJDgz,(사)인구보건복지협회전북지회가족보건의원,의원,전북특별자치도,전주시 덕진구,전북특별자치도 전주시 덕진구 백제대로 722 (인후동2가),일반의,1974-01-16
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzQxIyQxIyQ3IyQ4MiQyNjEyMjIjNjEjJDEjJDAjJDgz,(사)인구보건복지협회전북지회가족치과의원,치과의원,전북특별자치도,전주시 덕진구,"전북특별자치도 전주시 덕진구 백제대로 722, 3층 (인후동2가)",치과,2007-11-23
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzUxIyQxIyQxIyQwMyQyNjE0ODEjODEjJDEjJDYjJDgz,(사)한국건강관리협회 건강치과의원,치과의원,전북특별자치도,전주시 덕진구,"전북특별자치도 전주시 덕진구 사평로 40, 5층 (덕진동1가, 건강검진센터)",치과,2013-05-02
